Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS visual,Chrome 115.0.0.0,,,2023-08-04 12:26:52,2023-08-04 12:27:11,19.100s,PASSED
,,,,,,,
Test Cases/Login,Chrome 115.0.0.0,,,2023-08-04 12:26:52,2023-08-04 12:27:11,18.894s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-04 12:26:53,2023-08-04 12:26:55,2.586s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-04 12:26:55,2023-08-04 12:26:56,0.451s,PASSED
"navigateToUrl(""https://crane-brothers.com/"")",Chrome 115.0.0.0,,,2023-08-04 12:26:56,2023-08-04 12:26:58,1.826s,PASSED
"click(findTestObject(""Menu_Account""))",Chrome 115.0.0.0,,,2023-08-04 12:26:58,2023-08-04 12:27:04,6.232s,PASSED
"takeElementScreenshotAsCheckpoint(""login_form"", findTestObject(""LoginObject""))",Chrome 115.0.0.0,,,2023-08-04 12:27:04,2023-08-04 12:27:07,2.756s,PASSED
"setText(findTestObject(""email_login""), ""miancloud1@gmail.com"")",Chrome 115.0.0.0,,,2023-08-04 12:27:07,2023-08-04 12:27:07,0.837s,PASSED
"setEncryptedText(findTestObject(""password_login""), ""y99X49qQ/aTapx2EjkpmCw=="")",Chrome 115.0.0.0,,,2023-08-04 12:27:07,2023-08-04 12:27:08,0.498s,PASSED
"takeElementScreenshotAsCheckpoint(""login_with_acc"", findTestObject(""LoginObject""))",Chrome 115.0.0.0,,,2023-08-04 12:27:08,2023-08-04 12:27:09,0.819s,PASSED
"click(findTestObject(""login_button""))",Chrome 115.0.0.0,,,2023-08-04 12:27:09,2023-08-04 12:27:11,2.310s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-04 12:27:11,2023-08-04 12:27:11,0.298s,PASSED
